track_name,artist_name,popularity,danceability,energy,key,loudness,acousticness,liveness,duration_ms,streaming_count,duration_minutes
Die With A Smile,Lady Gaga,100,-0.8706589696519874,-0.2895722872624568,6,-0.32006794649430886,0.2220974821792349,-0.4424518747390006,251668,1000000,4.194466666666667
BIRDS OF A FEATHER,Billie Eilish,97,0.6349884874771541,-0.7745626016250429,2,-0.958525070422482,-0.20403907695823217,-0.48075226222809003,210373,970000,3.5062166666666665
"Good Luck, Babe!",Chappell Roan,94,0.32186711364941195,-0.3466299713051141,11,0.1645087428028888,-0.7951062673174227,-0.7021285019150276,218424,940000,3.6404
Taste,Sabrina Carpenter,94,0.14865103451066172,1.5077447600812452,3,0.6642867921936142,-0.5946642561675771,0.8980616873791333,157280,940000,2.6213333333333333
Sailor Song,Gigi Perez,93,-1.0505372056806903,-1.3109048316260208,11,-1.0281312982191628,1.69779260363676,0.10141362760607098,211979,900000,3.532983333333333
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",90,-0.5042403407046303,1.3765120867831335,0,0.4050635990197695,0.415437217343456,1.441927189724205,197020,920000,3.2836666666666665
That’s So True,Gracie Abrams,92,-0.6508077922835728,0.9428736880589391,1,0.6421514783732141,-0.14879915262559762,-0.15902900731973793,166300,930000,2.7716666666666665
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",87,-0.9772534798912188,0.965696761676002,1,0.6909558449892773,0.1313461779184779,2.0240930795583663,255916,980000,4.265266666666666
APT.,ROSÉ,98,0.8348531941757128,0.800229477952296,0,0.5600107957625717,-0.8815172918091869,1.342346182252572,169917,870000,2.83195
Timeless (with Playboi Carti),The Weeknd,92,0.7815559390560972,0.4521776052920868,11,0.2911867435822882,-0.7627514544940225,-0.5267127272149975,256000,920000,4.266666666666667
Bed Chem,Sabrina Carpenter,90,0.5816912323575384,0.48070644731341544,11,0.16237521857923573,-0.7256617910135392,-0.580333269699723,171870,920000,2.8645
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",87,-1.8566581893648768,0.9999313721015958,3,0.9032415052427553,0.4272743439861635,1.947492304580187,253834,870000,4.230566666666666
WILDFLOWER,Billie Eilish,92,-1.2304154417093929,-2.2580623867341303,6,-1.4468354271110728,1.4215929819735869,-0.07476815484374087,261467,900000,4.357783333333333
Rah Tah Tah,"Tyler, The Creator",87,0.06204299494128624,1.3422774763575394,1,0.6608198153301781,-0.9817777544729187,1.5415081971958378,165413,870000,2.756883333333333
Who,Jimin,92,0.05538083805133428,0.6461737310371215,0,0.7557616432827386,-0.9817777544729187,0.10141362760607098,170888,860000,2.848133333333333
Love Somebody,Morgan Wallen,86,-0.21776759443669608,1.1425755822082388,5,0.3277233459123467,-0.9557755329477715,-0.12072861983064835,204829,900000,3.4138166666666665
"I Love You, I'm Sorry",Gracie Abrams,90,-0.8106995576424197,-1.3508452104558804,10,-0.2480615039460185,1.5952041727332957,-0.35819102226300353,157147,920000,2.6191166666666668
Not Like Us,Kendrick Lamar,88,1.6409741778598992,-0.9742644957743433,1,-0.11311609679996365,-0.9509617681130705,-0.2969104022804604,274192,880000,4.569866666666667
Like Him (feat. Lola Young),"Tyler, The Creator",86,-1.7300772084557896,-0.5006857182202881,4,-0.03470908158071415,0.13923759568028288,-0.38117125475645725,278015,860000,4.633583333333333
MILLION DOLLAR BABY,Tommy Richman,88,1.3345149609221092,0.30953339518544365,1,0.2818525751038063,-0.6092633790269163,-0.8576280751207312,155152,880000,2.5858666666666665
Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator",85,0.7882180959460491,1.2338678766764906,10,0.8520369238750821,0.4351657617479684,3.778250826558667,207273,850000,3.45455
Pink Skies,Zach Bryan,85,-0.8440103420921796,-0.8829722013060917,0,-0.0885805682279535,-0.23955045688635448,-0.3428708672673677,194920,850000,3.248666666666667
Juno,Sabrina Carpenter,87,-0.12449739797736864,0.469294910504884,5,0.6186827119130306,-0.8112836737291229,0.19333455757988574,223192,870000,3.719866666666667
Noid,"Tyler, The Creator",85,-1.810023091135213,0.8059352463565618,1,0.15277435957279717,1.0704248915732668,2.407096954449261,284364,930000,4.7394
Tu Boda,Oscar Maydon,93,0.28189417230970015,0.04706804858922095,6,-0.10431530937739475,0.9638907517888999,-0.774133230394516,225881,850000,3.764683333333333
Good Graces,Sabrina Carpenter,86,0.7082722132666256,0.6632910362499186,5,0.3365241333349153,0.3049573686781869,-0.2739301697870067,185265,860000,3.08775
I Had Some Help (Feat. Morgan Wallen),Post Malone,84,-0.05121367218789708,1.3194544027404764,0,0.4944049258852407,-0.9485943427845289,0.36185626253187986,178206,830000,2.9701
NEL,Fuerza Regida,89,0.25524554474989236,-0.917206811731686,7,0.06449979481915236,1.0704248915732668,-0.8193276876316417,149074,880000,2.484566666666667
No One Noticed,The Marías,83,0.3551778980991717,-1.7331316935416836,7,-1.0761355932513563,1.1848504491194385,-0.45777202973463643,236907,840000,3.94845
Slow It Down,Benson Boone,87,-1.4635909328577115,-0.34092420290084835,8,0.5053392375314625,-0.30662750786169657,-0.6622960989263745,161831,890000,2.6971833333333333
Espresso,Sabrina Carpenter,88,0.31520495675946,0.7602890991224359,0,0.3453249207574842,-0.4762929897405029,0.19333455757988574,175459,820000,2.9243166666666665
Beautiful Things,Benson Boone,89,-1.1971046572596336,-0.9799702641786089,10,0.23598180429526572,-0.39737881212245346,-0.3045704797782781,180304,870000,3.0050666666666666
