track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,streaming_count
2fPvQfGQEZOKtJ9qXeL4x8,I Can Do It With a Broken Heart,Taylor Swift,75,0.701,0.751,0,-8.39,1,0.0502,0.123,0,0.15,0.22,129.994,218005,4,700000
1xtw1krCR6Dw2KwkXw5z63,The Smallest Man Who Ever Lived,Taylor Swift,75,0.426,0.41,10,-9.083,1,0.0581,0.52,0,0.338,0.263,142.377,245542,1,780000
2MjXWroB9wlTG2kqv3avfS,Get It Sexyy,Sexyy Red,71,0.811,0.64,5,-5.63,0,0.274,0.0957,0,0.127,0.527,145.031,148552,4,760000
7AysIqSEDiwP4CUsAXJwrk,PRIMO,Tito Double P,81,0.661,0.808,3,-6.28,0,0.0347,0.355,0,0.131,0.7,144.886,164991,3,760000
4v9alNvEjLjvqo4LNWwswl,weren't for the wind,Ella Langley,71,0.466,0.804,6,-4.638,0,0.0457,0.162,0,0.155,0.451,151.943,193667,4,710000
35I2E525yJpUQ5ZJgfxizT,Harpy Hare,Yaelokre,76,0.645,0.533,2,-11.65,1,0.0351,0.644,7.08E-06,0.2,0.349,130.02,180923,4,740000
6pf7fmrtYcA4WpqTksuh68,SKI,Future,71,0.816,0.561,11,-7.566,1,0.293,0.0801,2.74E-06,0.231,0.111,135.028,147593,3,700000
4pygz13A6EcLL6ti7kqGaf,Super Tuna,Jin,83,0.641,0.964,8,-4.041,0,0.149,0.0063,0,0.0447,0.601,165.005,114693,4,790000
6KOnLTb1xLfKDAjMC43I76,Giza,Natanael Cano,82,0.698,0.891,5,-5.003,0,0.0341,0.0942,0,0.133,0.696,124.054,177581,3,730000
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),Lost Frequencies,83,0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,145599,4,790000
6a9Z1jUms915w4O7N1PxjY,Santa,Rvssian,83,0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,193039,4,810000
5NAOhPAZ57eFAXr3qatS6i,Breathe,Yeat,73,0.76,0.546,11,-13.092,1,0.0616,0.0284,0.924,0.103,0.113,118.051,170847,4,810000
5o0osRx8kYJTOqlOSggr9Z,Carry You Home,Alex Warren,78,0.525,0.66,10,-7.094,1,0.111,0.468,3.30E-06,0.128,0.458,123.787,166881,4,740000
3gVYa5bvsuvBegKEIEY8Mk,That's Who I Praise,Brandon Lake,71,0.652,0.655,3,-6.469,1,0.0324,0.00162,2.72E-06,0.211,0.405,111.97,228286,4,730000
42wdz3j7gstgUuhoFLCXqd,PELIGROSA,FloyyMenor,83,0.763,0.519,6,-7.426,0,0.0636,0.22,6.42E-06,0.0816,0.804,100.025,134930,4,710000
2PyJAiQjp1OPkow2FJZKHR,you look like you love me (feat. Riley Green),Ella Langley,72,0.663,0.675,11,-5.851,1,0.0321,0.353,0,0.21,0.455,128.942,224280,4,700000
3dzRwqd1L3HqxmViUJt20A,Sweet Dreams,Koe Wetzel,69,0.71,0.57,2,-4.99,0,0.0295,0.251,0.000306,0.117,0.486,75.036,173269,4,710000
5oOZGQnZZToIHI55lw2E97,JOYRIDE,Kesha,74,0.789,0.899,10,-4.652,0,0.0523,0.0179,0.000139,0.114,0.509,115.955,150000,4,690000
0oF9jpn0n8afMpbHKgRd6J,I Ain't Worried,OneRepublic,78,0.713,0.792,0,-5.957,1,0.0467,0.103,0.00052,0.0698,0.81,139.976,148486,4,750000
